Title_Name,Title_URL,Script_URL
Kung Fu Panda,https://www.imsdb.com/Movie%20Scripts/Kung%20Fu%20Panda%20Script.html,https://www.imsdb.com/scripts/Kung-Fu-Panda.html
Lake Placid,https://www.imsdb.com/Movie%20Scripts/Lake%20Placid%20Script.html,https://www.imsdb.com/scripts/Lake-Placid.html
Land of the Dead,https://www.imsdb.com/Movie%20Scripts/Land%20of%20the%20Dead%20Script.html,https://www.imsdb.com/scripts/Land-of-the-Dead.html
"Last Boy Scout, The","https://www.imsdb.com/Movie%20Scripts/Last%20Boy%20Scout,%20The%20Script.html","https://www.imsdb.com/scripts/Last-Boy-Scout,-The.html"
"Last Samurai, The","https://www.imsdb.com/Movie%20Scripts/Last%20Samurai,%20The%20Script.html","https://www.imsdb.com/scripts/Last-Samurai,-The.html"
Legion,https://www.imsdb.com/Movie%20Scripts/Legion%20Script.html,https://www.imsdb.com/scripts/Legion.html
"LEGO Movie, The","https://www.imsdb.com/Movie%20Scripts/LEGO%20Movie,%20The%20Script.html","https://www.imsdb.com/scripts/LEGO-Movie,-The.html"
Les Tontons Flingueurs,https://www.imsdb.com/Movie%20Scripts/Les%20Tontons%20Flingueurs%20Script.html,https://www.imsdb.com/scripts/Les-Tontons-Flingueurs.html
Lethal Weapon,https://www.imsdb.com/Movie%20Scripts/Lethal%20Weapon%20Script.html,Not accessible
Lethal Weapon 4,https://www.imsdb.com/Movie%20Scripts/Lethal%20Weapon%204%20Script.html,Not accessible
Logan,https://www.imsdb.com/Movie%20Scripts/Logan%20Script.html,https://www.imsdb.com/scripts/Logan.html
Logan's Run,https://www.imsdb.com/Movie%20Scripts/Logan's%20Run%20Script.html,https://www.imsdb.com/scripts/Logan's-Run.html
"Long Kiss Goodnight, The","https://www.imsdb.com/Movie%20Scripts/Long%20Kiss%20Goodnight,%20The%20Script.html","https://www.imsdb.com/scripts/Long-Kiss-Goodnight,-The.html"
Looper,https://www.imsdb.com/Movie%20Scripts/Looper%20Script.html,https://www.imsdb.com/scripts/Looper.html
"Lord of the Rings: Fellowship of the Ring, The","https://www.imsdb.com/Movie%20Scripts/Lord%20of%20the%20Rings:%20Fellowship%20of%20the%20Ring,%20The%20Script.html","https://www.imsdb.com/scripts/Lord-of-the-Rings-Fellowship-of-the-Ring,-The.html"
Lord of the Rings: Return of the King,https://www.imsdb.com/Movie%20Scripts/Lord%20of%20the%20Rings:%20Return%20of%20the%20King%20Script.html,https://www.imsdb.com/scripts/Lord-of-the-Rings-Return-of-the-King.html
Lord of the Rings: The Two Towers,https://www.imsdb.com/Movie%20Scripts/Lord%20of%20the%20Rings:%20The%20Two%20Towers%20Script.html,https://www.imsdb.com/scripts/Lord-of-the-Rings-The-Two-Towers.html
"Losers, The","https://www.imsdb.com/Movie%20Scripts/Losers,%20The%20Script.html","https://www.imsdb.com/scripts/Losers,-The.html"
